epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,336.213,1.50075,0.89976,0.00302,0.86611,0.84523,0.90575,0.61299,1.37893,0.78097,0.00432,0.00103181,0.00103181,0.00103181
74,340.361,1.44744,0.85798,0.00297,0.87665,0.83285,0.90461,0.62152,1.36542,0.77281,0.00436,0.00103071,0.00103071,0.00103071
75,344.271,1.40857,0.8451,0.00299,0.85528,0.88745,0.91514,0.6071,1.38017,0.7899,0.00444,0.00102961,0.00102961,0.00102961
76,349.175,1.51856,0.89482,0.00284,0.84645,0.87811,0.89052,0.61343,1.3348,0.80034,0.00423,0.00102851,0.00102851,0.00102851
77,353.198,1.40742,0.84004,0.00279,0.82724,0.83413,0.89342,0.60899,1.34235,0.81917,0.00428,0.00102741,0.00102741,0.00102741
78,357.201,1.48649,0.90355,0.00284,0.8651,0.83053,0.90912,0.6113,1.36129,0.81119,0.0043,0.00102631,0.00102631,0.00102631
79,362.202,1.38733,0.8187,0.00281,0.8989,0.81521,0.90937,0.60772,1.39374,0.81813,0.00439,0.00102521,0.00102521,0.00102521
80,366.191,1.48505,0.86733,0.0029,0.90828,0.85256,0.90927,0.59019,1.4675,0.79087,0.00461,0.00102411,0.00102411,0.00102411
81,370.065,1.46968,0.82842,0.00294,0.82386,0.83967,0.88975,0.59086,1.41502,0.83665,0.00433,0.00102301,0.00102301,0.00102301
82,375.345,1.43861,0.83384,0.00287,0.79551,0.82235,0.87584,0.58246,1.42096,0.90517,0.00438,0.00102191,0.00102191,0.00102191
83,379.429,1.48987,0.85139,0.0028,0.83694,0.85499,0.90351,0.59594,1.44491,0.80697,0.0045,0.00102081,0.00102081,0.00102081
84,383.543,1.45284,0.82794,0.00284,0.84797,0.84576,0.90601,0.61064,1.3916,0.79551,0.00437,0.00101971,0.00101971,0.00101971
85,388.702,1.4849,0.84445,0.00285,0.90401,0.85547,0.92629,0.61162,1.39831,0.75903,0.00448,0.00101861,0.00101861,0.00101861
